Exercise, Shortlink
Get Customers Details, https://flowgear.me/s/prBquBK
Get Customers based on ID, https://flowgear.me/s/owHo6vT
Get Customer Details (SET STATIC ID), https://flowgear.me/s/qDXrUUa
API Web Request, https://flowgear.me/s/bgmShuE
CSV 2 DB, https://flowgear.me/s/qh8mznz
DB 2 CSV (With Column Name), https://flowgear.me/s/gb501ZN
csv 2 xml, https://flowgear.me/s/yxNJ5cw
db 2 xml, https://flowgear.me/s/Kt9wy5c
xml 2 db, https://flowgear.me/s/5JsC8vf
DB 2 DB, https://flowgear.me/s/eWUi0FG
DB 2 DB Remove Whitespace, https://flowgear.me/s/06R6zyY
DB 2 Excel, https://flowgear.me/s/1ZESSfD
File Defination API, https://flowgear.me/s/hJDBhXD
Excel 2 CSV, https://flowgear.me/s/hDhRkkc
JSON 2 CSV, https://flowgear.me/s/FEUMAMO
XML 2 Excel, https://flowgear.me/s/sWKF0Ii
